year,marketing_airline,pax,basis
2013,FR,1743352,one-way departures
2013,EI,1071339,one-way departures
2013,BA,117707,one-way departures
2013,AF,75511,one-way departures
2013,BE,60956,one-way departures
2013,W2,4811,one-way departures
2013,AC,2866,one-way departures
2013,ZZ,1530,one-way departures
2013,AA,798,one-way departures
2013,YY,320,one-way departures
2013,XX,287,one-way departures
2013,EY,284,one-way departures
2013,RE,224,one-way departures
2013,UA,196,one-way departures
2013,BD,139,one-way departures
2013,LS,123,one-way departures
2013,IE,108,one-way departures
2013,R2,99,one-way departures
2013,VS,20,one-way departures
2013,U2,13,one-way departures
2013,OB,12,one-way departures
2013,AE,11,one-way departures
2013,E1,10,one-way departures
2013,MH,9,one-way departures
2013,7S,8,one-way departures
2013,X6,7,one-way departures
2013,AL,7,one-way departures
2013,EL,4,one-way departures
2013,TP,4,one-way departures
2013,AZ,3,one-way departures
2013,EO,3,one-way departures
2013,LH,3,one-way departures
2013,RI,2,one-way departures
2013,XH,2,one-way departures
2013,AI,2,one-way departures
2013,EU,1,one-way departures
2013,BS,1,one-way departures
2013,7X,1,one-way departures
2013,W6,1,one-way departures
2013,X1,1,one-way departures
2013,FS,0,one-way departures
2014,FR,1982238,one-way departures
2014,EI,818832,one-way departures
2014,BA,152836,one-way departures
2014,BE,91545,one-way departures
2014,WX,54167,one-way departures
2014,AF,36975,one-way departures
2014,AC,10631,one-way departures
2014,ZZ,3050,one-way departures
2014,??,1499,one-way departures
2014,AA,1186,one-way departures
2014,EY,688,one-way departures
2014,UA,372,one-way departures
2014,YY,302,one-way departures
2014,XX,248,one-way departures
2014,IE,191,one-way departures
2014,RE,154,one-way departures
2014,US,99,one-way departures
2014,NO,46,one-way departures
2014,LS,24,one-way departures
2014,X6,18,one-way departures
2014,R2,17,one-way departures
2014,U2,16,one-way departures
2014,AE,16,one-way departures
2014,E1,15,one-way departures
2014,QR,9,one-way departures
2014,XH,6,one-way departures
2014,EO,5,one-way departures
2014,EL,5,one-way departures
2014,ZB,4,one-way departures
2014,FL,3,one-way departures
2014,E2,2,one-way departures
2014,9F,2,one-way departures
2014,AZ,2,one-way departures
2014,A3,1,one-way departures
2014,YA,1,one-way departures
2014,UX,1,one-way departures
2014,Z3,1,one-way departures
2015,FR,2328054,one-way departures
2015,EI,1119888,one-way departures
2015,BA,201975,one-way departures
2015,WX,109507,one-way departures
2015,BE,96383,one-way departures
2015,AF,8321,one-way departures
2015,AC,4335,one-way departures
2015,AA,1522,one-way departures
2015,ZZ,1048,one-way departures
2015,US,482,one-way departures
2015,EY,407,one-way departures
2015,??,356,one-way departures
2015,YY,310,one-way departures
2015,XX,199,one-way departures
2015,IE,173,one-way departures
2015,UA,92,one-way departures
2015,NO,15,one-way departures
2015,HR,13,one-way departures
2015,U2,11,one-way departures
2015,JL,10,one-way departures
2015,FE,7,one-way departures
2015,7S,6,one-way departures
2015,RD,5,one-way departures
2015,BV,5,one-way departures
2015,RF,4,one-way departures
2015,EO,3,one-way departures
2015,EL,3,one-way departures
2015,AE,3,one-way departures
2015,QR,2,one-way departures
2015,S7,2,one-way departures
2015,SI,2,one-way departures
2015,X1,1,one-way departures
2015,XT,1,one-way departures
2016,FR,2683138,one-way departures
2016,EI,852718,one-way departures
2016,BA,278353,one-way departures
2016,WX,114028,one-way departures
2016,BE,91980,one-way departures
2016,AF,10088,one-way departures
2016,AC,9693,one-way departures
2016,AA,1903,one-way departures
2016,EY,929,one-way departures
2016,ZZ,831,one-way departures
2016,UA,368,one-way departures
2016,YY,317,one-way departures
2016,XX,277,one-way departures
2016,OK,135,one-way departures
2016,IE,112,one-way departures
2016,9G,45,one-way departures
2016,LM,16,one-way departures
2016,LS,9,one-way departures
2016,E1,9,one-way departures
2016,U2,7,one-way departures
2016,AE,6,one-way departures
2016,GK,6,one-way departures
2016,XH,5,one-way departures
2016,EU,4,one-way departures
2016,0Z,4,one-way departures
2016,WW,3,one-way departures
2016,BS,3,one-way departures
2016,EL,3,one-way departures
2016,ZX,2,one-way departures
2016,JL,2,one-way departures
2016,W1,2,one-way departures
2016,R2,2,one-way departures
2016,CF,2,one-way departures
2016,W6,2,one-way departures
2016,NM,2,one-way departures
2016,NO,1,one-way departures
2016,FF,1,one-way departures
2016,QR,1,one-way departures
2016,AY,1,one-way departures
2017,FR,2697268,one-way departures
2017,EI,1022698,one-way departures
2017,BA,359581,one-way departures
2017,WX,129165,one-way departures
2017,BE,123620,one-way departures
2017,AC,5118,one-way departures
2017,AF,3428,one-way departures
2017,AA,1843,one-way departures
2017,LM,1803,one-way departures
2017,ZZ,835,one-way departures
2017,IE,810,one-way departures
2017,EY,771,one-way departures
2017,UA,271,one-way departures
2017,9G,216,one-way departures
2017,XX,194,one-way departures
2017,YY,164,one-way departures
2017,??,104,one-way departures
2017,JL,93,one-way departures
2017,CJ,69,one-way departures
2017,QR,66,one-way departures
2017,9B,19,one-way departures
2017,XH,8,one-way departures
2017,E1,7,one-way departures
