year,pull_basis,uk_origin_single_ticket_via_dub_to_na_pax,basis
2013,POO,56452,one-way departures
2014,ND,95061,one-way departures
2015,POO,97458,one-way departures
2016,ND,186803,one-way departures
2017,ND,166448,one-way departures
2018,ND,123737,one-way departures
2019,ND,119504,one-way departures
2020,,,2020 absent from store - gap not interpolated
2021,ND,67197,one-way departures
2022,ND,113274,one-way departures
2023,ND,180523,one-way departures
2024,ND,154267,one-way departures
2025,ND,187892,one-way departures
