year,pull_basis,airport,source_market_poo_country,inbound_pax,basis
2013,POO,DUB,AT,45153,one-way departures
2013,POO,DUB,CN,11212,one-way departures
2013,POO,DUB,BG,8801,one-way departures
2013,POO,DUB,SE,46583,one-way departures
2013,POO,DUB,UA,2172,one-way departures
2013,POO,DUB,NG,3506,one-way departures
2013,POO,DUB,ES,438845,one-way departures
2013,POO,DUB,IN,9957,one-way departures
2013,POO,DUB,SG,3199,one-way departures
2013,POO,DUB,LU,3467,one-way departures
2013,POO,DUB,KR,3771,one-way departures
2013,POO,DUB,OM,892,one-way departures
2013,POO,DUB,TH,1782,one-way departures
2013,POO,DUB,NL,103119,one-way departures
2013,POO,DUB,RO,8108,one-way departures
2013,POO,BHD,GR,278,one-way departures
2013,POO,DUB,PE,250,one-way departures
2013,POO,BHD,FR,2780,one-way departures
2013,POO,BHD,PT,19564,one-way departures
2013,POO,BHD,EG,174,one-way departures
2013,POO,DUB,PH,1299,one-way departures
2013,POO,BHD,MK,118,one-way departures
2013,POO,BHD,BH,177,one-way departures
2013,POO,DUB,HT,88,one-way departures
2013,POO,DUB,MU,243,one-way departures
2013,POO,BHD,RS,162,one-way departures
2013,POO,BHD,QA,206,one-way departures
2013,POO,BHD,NZ,579,one-way departures
2013,POO,BHD,LY,48,one-way departures
2013,POO,BHD,BA,60,one-way departures
2013,POO,DUB,MR,29,one-way departures
2013,POO,BFS,PL,5633,one-way departures
2013,POO,BFS,DE,72,one-way departures
2013,POO,DUB,CY,885,one-way departures
2013,POO,DUB,CD,100,one-way departures
2013,POO,DUB,AO,156,one-way departures
2013,POO,DUB,TT,148,one-way departures
2013,POO,DUB,BB,232,one-way departures
2013,POO,DUB,BS,94,one-way departures
2013,POO,BHD,MX,284,one-way departures
2013,POO,DUB,CG,19,one-way departures
2013,POO,DUB,AM,89,one-way departures
2013,POO,DUB,SB,12,one-way departures
2013,POO,DUB,KG,98,one-way departures
2013,POO,BHD,ID,65,one-way departures
2013,POO,DUB,GT,91,one-way departures
2013,POO,BFS,JO,4,one-way departures
