destination_airport,ni_origin_pax_2025,premium_cabin_pax,premium_share_pct,mean_base_fare_usd,mean_distance_km,fare_per_1000km_usd,basis
GLA,206714,0,0.0,78.1,174.0,448.8,one-way departures
LHR,180654,499,0.28,172.6,519.0,332.7,one-way departures
MAN,386546,2,0.0,97.9,295.0,331.4,one-way departures
NCL,120508,0,0.0,89.4,294.0,304.5,one-way departures
LPL,247716,0,0.0,76.7,264.0,290.4,one-way departures
EDI,310186,0,0.0,66.2,229.0,288.8,one-way departures
LCY,61362,1374,2.24,147.1,526.0,279.7,one-way departures
LBA,78647,0,0.0,78.9,293.0,269.0,one-way departures
BHX,275385,2,0.0,96.5,379.0,254.7,one-way departures
LTN,201588,0,0.0,107.5,493.0,218.2,one-way departures
BRS,149879,2,0.0,92.5,430.0,215.1,one-way departures
LGW,337101,0,0.0,118.7,553.0,214.4,one-way departures
SOU,63985,0,0.0,97.2,515.0,188.8,one-way departures
STN,253624,4,0.0,94.6,529.0,179.0,one-way departures
AMS,48786,4524,9.27,136.2,776.0,175.4,one-way departures
EMA,29846,0,0.0,59.6,373.0,159.9,one-way departures
CDG,64602,117,0.18,117.6,871.0,134.9,one-way departures
REU,32167,0,0.0,186.2,1598.0,116.5,one-way departures
AGP,129157,141,0.11,161.5,2008.0,80.4,one-way departures
PMI,106771,115,0.11,141.5,1809.0,78.2,one-way departures
ALC,136819,9,0.01,138.3,1871.0,73.9,one-way departures
GVA,20945,200,0.96,89.9,1278.0,70.3,one-way departures
FAO,119761,27,0.02,127.1,1969.0,64.5,one-way departures
TFS,98658,8,0.01,196.2,3077.0,63.7,one-way departures
AYT,28108,5,0.02,208.4,3423.0,60.9,one-way departures
FUE,22015,0,0.0,175.4,2983.0,58.8,one-way departures
KRK,45593,64,0.14,100.5,1826.0,55.0,one-way departures
ACE,80665,16,0.02,156.4,2921.0,53.5,one-way departures
BUD,20325,165,0.81,103.5,1942.0,53.3,one-way departures
LPA,26246,5,0.02,153.4,3067.0,50.0,one-way departures
DLM,29669,16,0.06,161.4,3317.0,48.6,one-way departures
