destination_airport,country_code,ni_origin_pax_2025,premium_cabin_pax,premium_share_pct,mean_base_fare_usd,basis
MAN,GB,386546,2,0.0,97.9,one-way departures
LGW,GB,337101,0,0.0,118.7,one-way departures
EDI,GB,310186,0,0.0,66.2,one-way departures
BHX,GB,275385,2,0.0,96.5,one-way departures
STN,GB,253624,4,0.0,94.6,one-way departures
LPL,GB,247716,0,0.0,76.7,one-way departures
GLA,GB,206714,0,0.0,78.1,one-way departures
LTN,GB,201589,0,0.0,107.5,one-way departures
LHR,GB,180654,499,0.28,172.6,one-way departures
BRS,GB,149879,2,0.0,92.5,one-way departures
ALC,ES,136819,9,0.01,138.3,one-way departures
AGP,ES,129157,141,0.11,161.5,one-way departures
NCL,GB,120508,0,0.0,89.4,one-way departures
FAO,PT,119761,27,0.02,127.1,one-way departures
PMI,ES,106771,115,0.11,141.5,one-way departures
TFS,ES,98658,8,0.01,196.2,one-way departures
ACE,ES,80665,16,0.02,156.4,one-way departures
LBA,GB,78647,0,0.0,78.9,one-way departures
CDG,FR,64602,117,0.18,117.6,one-way departures
SOU,GB,63985,0,0.0,97.2,one-way departures
LCY,GB,61362,1374,2.24,147.1,one-way departures
AMS,NL,48786,4524,9.27,136.2,one-way departures
KRK,PL,45593,64,0.14,100.5,one-way departures
REU,ES,32167,0,0.0,186.2,one-way departures
EMA,GB,29846,0,0.0,59.6,one-way departures
DLM,TR,29669,16,0.06,161.4,one-way departures
AYT,TR,28108,5,0.02,208.4,one-way departures
LPA,ES,26246,5,0.02,153.4,one-way departures
FUE,ES,22015,0,0.0,175.4,one-way departures
GVA,CH,20945,200,0.96,89.9,one-way departures
BUD,HU,20325,165,0.81,103.5,one-way departures
