route,aircraft,airline_type,duty_scenario,econ_seats,one_way_fare_usd,load_factor,revenue_per_turn_usd,cost_per_turn_usd,profit_per_turn_usd,breakeven_lf_pct,margin_pct
BFS-CDG,A320,LCC,base,180,110.0,0.9,35640,24352,11288,52.2,31.7
BFS-CDG,A320,LCC,+Band A 13,180,126.9,0.9,41116,24899,16216,44.1,39.4
BFS-CDG,A320,LCC,+Band A 15,180,129.5,0.9,41958,24984,16974,43.1,40.5
BFS-CDG,A319,LCC,base,144,110.0,0.9,28512,21090,7422,58.9,26.0
BFS-CDG,A319,LCC,+Band A 13,144,126.9,0.9,32892,21528,11364,49.8,34.5
BFS-CDG,A319,LCC,+Band A 15,144,129.5,0.9,33566,21596,11971,48.6,35.7
BFS-CDG,B738,ULCC,base,189,110.0,0.94,39085,25673,13412,51.2,34.3
BFS-CDG,B738,ULCC,+Band A 13,189,126.9,0.94,45090,26274,18816,43.3,41.7
BFS-CDG,B738,ULCC,+Band A 15,189,129.5,0.94,46014,26366,19648,42.3,42.7
BFS-BCN,A319,LCC,base,144,174.0,0.9,45101,29000,16101,50.2,35.7
BFS-BCN,A319,LCC,+Band A 13,144,190.9,0.9,49481,29438,20043,45.3,40.5
BFS-BCN,A319,LCC,+Band A 15,144,193.5,0.9,50155,29506,20650,44.6,41.2
BFS-BCN,B738,ULCC,base,189,174.0,0.94,61826,37125,24701,47.5,40.0
BFS-BCN,B738,ULCC,+Band A 13,189,190.9,0.94,67831,37725,30106,42.9,44.4
BFS-BCN,B738,ULCC,+Band A 15,189,193.5,0.94,68754,37817,30937,42.2,45.0
