seats,weekly_frequency,annual_two_way_seats,breakeven_lf,two_way_pax_required,Paris (already served),Barcelona,Lisbon,Rome,Madrid,basis
110,3,34320,0.5,17160,73824,28773,8582,5722,5713,two-way passengers
110,3,34320,0.65,22308,73824,28773,8582,5722,5713,two-way passengers
110,3,34320,0.75,25740,73824,28773,8582,5722,5713,two-way passengers
110,3,34320,0.85,29172,73824,28773,8582,5722,5713,two-way passengers
110,2,22880,0.5,11440,73824,28773,8582,5722,5713,two-way passengers
110,2,22880,0.65,14872,73824,28773,8582,5722,5713,two-way passengers
110,2,22880,0.75,17160,73824,28773,8582,5722,5713,two-way passengers
110,2,22880,0.85,19448,73824,28773,8582,5722,5713,two-way passengers
130,3,40560,0.5,20280,73824,28773,8582,5722,5713,two-way passengers
130,3,40560,0.65,26364,73824,28773,8582,5722,5713,two-way passengers
130,3,40560,0.75,30420,73824,28773,8582,5722,5713,two-way passengers
130,3,40560,0.85,34476,73824,28773,8582,5722,5713,two-way passengers
130,2,27040,0.5,13520,73824,28773,8582,5722,5713,two-way passengers
130,2,27040,0.65,17576,73824,28773,8582,5722,5713,two-way passengers
130,2,27040,0.75,20280,73824,28773,8582,5722,5713,two-way passengers
130,2,27040,0.85,22984,73824,28773,8582,5722,5713,two-way passengers
180,3,56160,0.5,28080,73824,28773,8582,5722,5713,two-way passengers
180,3,56160,0.65,36504,73824,28773,8582,5722,5713,two-way passengers
180,3,56160,0.75,42120,73824,28773,8582,5722,5713,two-way passengers
180,3,56160,0.85,47736,73824,28773,8582,5722,5713,two-way passengers
180,2,37440,0.5,18720,73824,28773,8582,5722,5713,two-way passengers
180,2,37440,0.65,24336,73824,28773,8582,5722,5713,two-way passengers
180,2,37440,0.75,28080,73824,28773,8582,5722,5713,two-way passengers
180,2,37440,0.85,31824,73824,28773,8582,5722,5713,two-way passengers
