destination_airport,gcd_km,ni_origin_pax_2025,co2_kg_per_departing_pax,co2_tonnes_per_departing_pax,basis
MAN,295,386546,41.5,0.0415,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
LGW,555,337101,64.9,0.0649,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
EDI,231,310186,37.4,0.0374,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
BHX,364,275385,43.9,0.0439,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
STN,526,253624,60.7,0.0607,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
LPL,262,247716,43.6,0.0436,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
GLA,193,206714,35.3,0.0353,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
LTN,495,201588,60.8,0.0608,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
LHR,502,180654,54.4,0.0544,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
BRS,431,149879,52.0,0.052,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
ALC,1868,136819,148.6,0.1486,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
AGP,2002,129157,157.1,0.1571,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
NCL,291,120508,45.6,0.0456,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
FAO,1965,119761,155.5,0.1555,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
PMI,1806,106771,146.6,0.1466,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
TFS,3074,98658,224.7,0.2247,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
ACE,2919,80665,215.4,0.2154,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
LBA,307,78647,32.5,0.0325,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
CDG,866,64602,83.7,0.0837,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
SOU,507,63985,42.8,0.0428,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
LCY,525,61362,48.6,0.0486,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
AMS,768,48786,70.4,0.0704,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
KRK,1823,45593,144.4,0.1444,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
REU,1596,32167,131.9,0.1319,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
EMA,380,29846,43.3,0.0433,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
DLM,3315,29669,240.1,0.2401,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
AYT,3420,28108,247.0,0.247,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
LPA,3063,26246,224.2,0.2242,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
FUE,2976,22015,218.1,0.2181,one-way departures; LF 0.88; 3.16 kgCO2/kg fuel
