year,pull_basis,uk_domestic_pax,uk_eea_pax,other_pax,total_pax,in_uk_ets_scope_pct,basis
2013,POO,2634416,669501,131354,3435272,96.2,one-way departures
2014,ND,2616037,688648,143762,3448448,95.8,one-way departures
2015,POO,2770984,772408,128346,3671739,96.5,one-way departures
2016,ND,3016235,866463,139728,4022428,96.5,one-way departures
2017,ND,3003904,1119860,146755,4270520,96.6,one-way departures
2018,ND,3119644,1083855,153996,4357495,96.5,one-way departures
2019,ND,3133398,1092975,157067,4383440,96.4,one-way departures
2021,ND,2597240,417173,95404,3109817,96.9,one-way departures
2022,ND,2421060,731975,119588,3272624,96.3,one-way departures
2023,ND,2813700,982882,190082,3986666,95.2,one-way departures
2024,ND,3086926,1211407,231140,4529475,94.9,one-way departures
2025,ND,2957793,1266425,250568,4474787,94.4,one-way departures
