year,pull_basis,domestic_pax,band_a_pax,band_b_c_pax,total_pax,domestic_share_pct,band_a_share_pct,basis
2013,POO,2634416,708735,92120,3435272,76.7,20.6,one-way departures
2014,ND,2616037,730767,101643,3448448,75.9,21.2,one-way departures
2015,POO,2770984,810816,89938,3671739,75.5,22.1,one-way departures
2016,ND,3016235,903277,102914,4022428,75.0,22.5,one-way departures
2017,ND,3003904,1144860,121755,4270520,70.3,26.8,one-way departures
2018,ND,3119644,1117463,120388,4357495,71.6,25.6,one-way departures
2019,ND,3133398,1149589,100453,4383440,71.5,26.2,one-way departures
2021,ND,2597240,444949,67627,3109817,83.5,14.3,one-way departures
2022,ND,2421060,776796,74767,3272624,74.0,23.7,one-way departures
2023,ND,2813700,1059421,113544,3986666,70.6,26.6,one-way departures
2024,ND,3086926,1350551,91996,4529475,68.2,29.8,one-way departures
2025,ND,2957793,1417875,99118,4474787,66.1,31.7,one-way departures
