airport,country,n_routes,median_ratio,factor(target1.05),consistency,needs_type_split
SVO,RU,16,0.93,1.129,no,no
SZX,CN,16,0.581,1.807,no,no
FRA,DE,15,1.311,0.801,no,no
YNT,CN,10,0.289,3.635,no,no
TSN,CN,10,0.855,1.228,no,yes
NGB,CN,10,0.409,2.564,no,no
DEN,US,10,0.989,1.062,no,no
LIS,PT,9,0.572,1.837,no,no
PVG,CN,9,1.298,0.809,no,no
HGH,CN,9,0.213,4.937,no,no
BCN,ES,8,1.393,0.754,no,no
CDG,FR,8,0.496,2.117,no,no
MAD,ES,8,0.45,2.331,no,no
WMT,CN,8,0.352,2.987,no,no
HUZ,CN,8,0.234,4.494,no,no
FLL,US,8,0.749,1.401,no,yes
LHR,GB,8,0.546,1.921,no,no
LTN,GB,8,1.164,0.902,no,no
MCO,US,8,0.499,2.103,no,yes
DSS,SN,8,0.251,4.188,no,no
LGW,GB,7,0.492,2.132,no,no
TBS,GE,7,0.686,1.532,no,no
YNZ,CN,7,0.299,3.506,no,no
VIE,AT,7,0.6,1.75,no,no
DMK,TH,7,0.488,2.154,no,no
ORD,US,7,0.714,1.47,no,no
CTU,CN,7,0.39,2.69,no,no
DXB,AE,7,0.481,2.185,no,no
SYD,AU,7,0.755,1.391,no,no
TLV,IL,6,0.636,1.651,no,no
CRK,PH,6,0.195,5.388,yes,no
CTA,IT,6,0.311,3.376,no,no
SYX,CN,6,0.263,3.988,no,no
LHW,CN,6,0.17,6.169,no,no
WAW,PL,6,0.306,3.428,yes,no
AMS,NL,6,0.607,1.729,yes,no
BUD,HU,6,0.522,2.012,no,yes
STN,GB,6,1.36,0.772,no,no
JFK,US,6,1.378,0.762,no,no
NKG,CN,6,0.473,2.221,no,no
NAO,CN,6,0.458,2.293,no,no
NAY,CN,6,0.516,2.034,no,no
HKG,HK,6,1.218,0.862,no,no
SEN,GB,5,0.558,1.88,no,no
WRO,PL,5,0.655,1.603,no,no
EWR,US,5,0.904,1.161,no,no
CLE,US,5,2.327,0.451,yes,no
YYZ,CA,5,0.787,1.334,yes,no
RDU,US,5,1.398,0.751,no,no
LAX,US,5,0.622,1.689,no,no
FOC,CN,5,0.42,2.501,no,no
DUS,DE,5,1.809,0.58,no,no
NAP,IT,5,0.518,2.027,no,no
PMO,IT,5,1.081,0.971,no,no
BGY,IT,5,0.494,2.125,no,no
CKG,CN,5,0.317,3.309,no,no
BOM,IN,5,0.845,1.243,no,no
IEV,UA,5,0.471,2.23,no,no
VKO,RU,5,0.158,6.658,no,no
KIV,?,5,0.511,2.054,no,no
TAO,CN,5,0.524,2.004,no,no
ATH,GR,5,0.945,1.111,no,yes
OAK,US,5,1.396,0.752,no,yes
RAK,MA,5,0.576,1.822,no,no
SJC,US,5,1.275,0.824,no,no
YUL,CA,5,0.943,1.114,no,no
AKL,NZ,5,0.387,2.711,no,no
DCA,US,5,0.973,1.079,yes,no
XMN,CN,5,0.341,3.081,no,no
SMF,US,5,1.509,0.696,no,no
EPA,AR,5,0.642,1.636,yes,no
LUX,LU,4,0.83,1.265,no,no
FEZ,MA,4,0.665,1.579,no,no
BRU,BE,4,0.528,1.989,no,no
ROV,RU,4,0.271,3.874,yes,no
PRG,CZ,4,0.561,1.873,no,yes
BKK,TH,4,0.232,4.522,no,no
ACX,CN,4,0.285,3.686,no,no
BNE,AU,4,1.087,0.966,no,no
ZYI,CN,4,0.678,1.549,no,no
KIX,JP,4,0.383,2.741,no,no
BHX,GB,4,3.209,0.327,no,no
SAW,TR,4,0.7,1.5,yes,no
YVR,CA,4,0.922,1.138,no,no
ICN,KR,4,1.999,0.525,no,yes
SIN,SG,4,0.314,3.343,no,no
HNY,CN,4,0.583,1.801,no,no
BOS,US,4,1.238,0.848,no,no
GLA,GB,4,2.252,0.466,no,yes
SCL,CL,4,0.698,1.505,no,no
TXL,DE,4,0.387,2.71,no,no
HYN,CN,4,0.332,3.167,no,no
VCE,IT,4,1.061,0.989,no,no
PHX,US,4,0.889,1.181,no,no
CAN,CN,4,0.218,4.827,no,no
QRO,MX,4,0.404,2.597,no,no
SEA,US,4,1.238,0.848,no,no
HKT,TH,4,0.745,1.41,no,no
HOU,US,4,0.364,2.882,no,no
YIH,CN,4,0.443,2.37,no,no
ZHA,CN,4,0.918,1.144,no,no
KBP,UA,4,0.371,2.829,yes,no
IND,US,4,2.549,0.412,no,no
HDG,CN,4,0.752,1.397,no,no
SVQ,ES,4,0.803,1.308,no,no
DYG,CN,4,1.22,0.86,no,no
CHS,US,4,2.803,0.375,yes,no
