airport,factor(target1.05),n_routes,stable_over_time
CTU,1.047,14,
SVO,0.845,13,
TAO,1.426,12,
CKG,0.968,12,
VKO,0.777,11,
TLV,1.472,10,
HAK,1.01,10,
LHR,0.63,10,
CDG,1.162,10,
SZX,0.746,10,
DSS,1.706,10,
DEL,1.077,9,
MCO,0.903,9,
NNG,1.549,9,
LHW,1.22,9,
AUS,0.709,8,
CSX,1.427,8,
HGH,1.189,8,
JFK,0.726,8,
KWE,0.995,8,
TNA,1.282,8,
WMT,1.709,8,
LAX,0.895,7,
FLL,1.37,7,
IAD,0.545,7,
NKG,1.052,7,
TSN,0.988,7,
FCO,1.007,7,
DME,1.01,7,
BGY,1.171,7,
KRK,1.283,7,
MAD,0.888,7,
MEL,0.88,7,
BCN,0.777,7,
LTN,0.608,7,
XIY,1.267,7,
OAK,0.801,7,
WUH,1.2,7,
DMK,0.935,7,
SFO,0.752,7,
PVG,1.038,6,
ZUH,1.455,6,
AMS,0.939,6,
LGW,1.235,6,
MXP,0.844,6,
WNZ,1.379,6,
EWR,0.851,6,
LED,1.465,6,
FRA,0.944,6,
NRT,0.859,6,
HRB,1.329,6,
RTM,0.658,6,
BUD,1.348,6,
ORY,1.377,6,
SLC,0.695,6,
AGP,1.337,5,
KMG,1.196,5,
CGO,1.606,5,
YVR,0.832,5,
KBP,1.129,5,
SEA,1.144,5,
COR,1.27,5,
BKK,1.235,5,
NTE,1.208,5,
DEN,0.699,5,
KWL,1.284,5,
LIS,0.794,5,
DUB,1.254,5,
AMD,1.537,5,
THR,0.591,5,
IEV,1.186,4,
TBS,1.206,4,
PRG,0.956,4,
KTW,0.907,4,
LAS,0.877,4,
BRU,0.889,4,
WRO,1.936,4,
EZE,1.231,4,
SJC,1.243,4,
XMN,1.239,4,
JJN,0.917,4,
DTW,0.801,4,
SAN,0.683,4,
MEX,0.909,4,
ZAG,0.846,4,
NRN,0.813,4,
PEK,1.063,4,
KHN,1.111,4,
CGQ,0.977,4,
FEZ,1.546,4,
SEN,0.463,4,
SDF,1.335,4,
DFW,0.867,4,
WAW,1.171,4,
