dim,cell,n,raw_ratio,factor,stable,published
carrier_type,ULCC,79,1.091,1.084,,False
carrier_type,FSC,29,0.874,0.896,,False
carrier_type,LCC,17,1.161,1.119,,False
carrier_type|country,ULCC|ES,13,0.738,0.821,,False
carrier_type|country,ULCC|IT,13,0.842,0.892,,False
carrier_type|country,ULCC|GB,9,0.662,0.797,,False
carrier_type|country,ULCC|PL,9,1.621,1.372,,False
carrier_type|country,ULCC|US,8,0.723,0.842,,False
carrier_type|country,ULCC|RO,6,2.859,1.93,,False
carrier_type|country,FSC|IT,4,0.658,0.863,,False
carrier_type|country,ULCC|FR,4,0.898,0.959,,False
carrier_type|country,FSC|UA,3,1.233,1.078,,False
carrier_type|country,LCC|NL,3,0.977,0.992,,False
carrier_type|country,FSC|FR,3,0.874,0.958,,False
carrier_type|country,FSC|GB,3,0.971,0.99,,False
carrier_type|country,LCC|ES,3,0.868,0.956,,False
carrier_type|country,ULCC|DE,3,1.895,1.298,,False
carrier_type|country,FSC|US,3,0.512,0.837,,False
carrier_type|country,ULCC|PT,2,5.105,2.026,,False
carrier_type|country,ULCC|RS,2,6.256,2.314,,False
carrier_type|country,FSC|NL,2,1.906,1.227,,False
carrier_type|country,FSC|BG,2,0.551,0.888,,False
carrier_type|country,ULCC|SE,2,1.401,1.1,,False
carrier_type|country,LCC|FR,2,3.688,1.672,,False
carrier_type|country,LCC|US,2,1.183,1.046,,False
carrier_type|country,ULCC|BG,1,1.389,1.056,,False
carrier_type|country,LCC|GB,1,4.86,1.551,,False
carrier_type|country,FSC|CZ,1,0.334,0.905,,False
carrier_type|country,LCC|HR,1,0.336,0.905,,False
carrier_type|country,FSC|AT,1,0.332,0.905,,False
carrier_type|country,ULCC|MT,1,1.514,1.073,,False
carrier_type|country,LCC|AT,1,5.019,1.574,,False
carrier_type|country,LCC|PT,1,9.813,2.259,,False
carrier_type|country,FSC|HR,1,2.495,1.214,,False
carrier_type|country,ULCC|HU,1,3.592,1.37,,False
carrier_type|country,ULCC|HR,1,0.107,0.872,,False
carrier_type|country,ULCC|AT,1,1.091,1.013,,False
carrier_type|country,FSC|PT,1,10.495,2.356,,False
carrier_type|country,LCC|IT,1,0.437,0.92,,False
carrier_type|country,ULCC|NL,1,0.615,0.945,,False
carrier_type|country,FSC|PL,1,2.063,1.152,,False
carrier_type|country,FSC|CH,1,0.571,0.939,,False
carrier_type|country,FSC|ES,1,0.502,0.929,,False
carrier_type|country,LCC|SE,1,0.995,0.999,,False
carrier_type|country,ULCC|LU,1,1.237,1.034,,False
carrier_type|country,FSC|DE,1,1.113,1.016,,False
