airport,factor(target1.05),n_routes,stable_over_time
SVO,0.797,16,
SZX,1.22,16,
FRA,0.64,15,
YNT,1.63,10,
TSN,0.82,10,
NGB,1.367,10,
DEN,0.783,10,
LIS,1.033,9,
PVG,0.713,9,
HGH,1.949,9,
BCN,0.638,8,
CDG,1.12,8,
MAD,1.339,8,
WMT,1.475,8,
HUZ,1.824,8,
FLL,1.182,8,
LHR,1.079,8,
LTN,0.67,8,
MCO,1.242,8,
DSS,2.144,8,
LGW,1.152,7,
TBS,1.021,7,
YNZ,1.455,7,
VIE,1.049,7,
DMK,1.239,7,
ORD,0.992,7,
CTU,1.294,7,
DXB,1.442,7,
SYD,0.921,7,
TLV,1.008,6,
CRK,2.026,6,
CTA,1.463,6,
SYX,1.576,6,
LHW,2.161,6,
WAW,1.589,6,
AMS,1.015,6,
BUD,1.268,6,
STN,0.743,6,
JFK,0.694,6,
NKG,1.269,6,
NAO,1.11,6,
NAY,1.19,6,
HKG,0.747,6,
SEN,1.125,5,
WRO,1.038,5,
EWR,0.799,5,
CLE,0.539,5,
YYZ,0.953,5,
RDU,0.731,5,
LAX,1.011,5,
FOC,1.18,5,
DUS,0.669,5,
NAP,1.164,5,
PMO,0.848,5,
BGY,1.125,5,
CKG,1.45,5,
BOM,0.967,5,
IEV,1.225,5,
VKO,2.128,5,
KIV,1.182,5,
TAO,1.139,5,
ATH,0.96,5,
OAK,0.764,5,
RAK,1.055,5,
SJC,0.779,5,
YUL,0.96,5,
AKL,1.448,5,
DCA,0.857,5,
XMN,1.372,5,
SMF,0.709,5,
EPA,0.965,5,
LUX,0.942,4,
FEZ,1.028,4,
BRU,1.128,4,
ROV,1.464,4,
PRG,1.114,4,
BKK,1.479,4,
ACX,1.423,4,
BNE,0.843,4,
ZYI,1.092,4,
KIX,1.326,4,
BHX,0.549,4,
SAW,1.039,4,
YVR,0.929,4,
ICN,0.809,4,
SIN,1.456,4,
HNY,0.981,4,
BOS,0.747,4,
GLA,0.65,4,
SCL,1.099,4,
TXL,1.398,4,
HYN,1.314,4,
VCE,0.971,4,
PHX,0.931,4,
CAN,1.679,4,
QRO,1.403,4,
SEA,0.85,4,
HKT,0.996,4,
HOU,1.441,4,
YIH,1.145,4,
ZHA,0.829,4,
KBP,1.355,4,
IND,0.648,4,
HDG,0.885,4,
SVQ,0.994,4,
DYG,0.771,4,
CHS,0.603,4,
CGN,1.023,3,
ARN,0.868,3,
CRL,1.59,3,
UPG,1.31,3,
ZUH,1.203,3,
CGY,1.25,3,
PDG,1.017,3,
JJN,1.023,3,
GEG,0.8,3,
DUB,0.752,3,
LIL,1.16,3,
AUS,0.774,3,
LPL,0.853,3,
PMI,0.669,3,
SFO,1.129,3,
LCY,0.769,3,
CMB,1.472,3,
NNG,1.369,3,
YCU,1.897,3,
LYI,1.025,3,
MSY,1.006,3,
BEG,0.94,3,
OPO,1.334,3,
SUF,0.723,3,
LZH,1.001,3,
MEL,0.91,3,
GDN,1.737,3,
GYD,1.022,3,
MUC,0.838,3,
FCO,1.032,3,
PHL,0.738,3,
DME,0.945,3,
BOD,1.302,3,
PUY,1.041,3,
PVD,1.349,3,
CGO,1.353,3,
ONT,1.15,3,
MAA,1.774,3,
WXN,0.963,3,
LED,1.717,3,
DBV,0.851,3,
BLR,1.087,3,
