airport,country,n,factor,stable,published
SVO,RU,17,1.126,True,True
SZX,CN,14,1.622,True,True
DSS,SN,14,4.166,,False
FRA,DE,13,0.771,False,False
PVG,CN,12,1.351,False,False
MAD,ES,12,2.359,True,True
CKG,CN,12,3.227,False,False
NGB,CN,11,3.23,True,True
YNT,CN,11,2.602,False,False
HNY,CN,10,2.597,False,False
DMK,TH,10,1.741,True,True
BCN,ES,10,0.985,False,False
CRK,PH,9,3.173,True,True
HAK,CN,9,1.886,False,False
TYN,CN,9,2.976,False,False
VKO,RU,9,2.585,False,False
VIE,AT,9,1.693,False,False
LHR,GB,9,0.953,False,False
TLV,IL,9,3.042,False,False
CTU,CN,9,1.708,False,False
FOC,CN,9,1.855,,False
DEN,US,9,0.98,False,False
LGW,GB,9,2.197,True,True
MCO,US,9,0.925,False,False
SYX,CN,8,5.023,,False
KRK,PL,8,1.182,False,False
HUZ,CN,8,2.981,False,False
NKG,CN,8,2.289,True,True
EDI,GB,8,2.114,True,True
BUD,HU,8,6.18,True,True
STN,GB,8,1.219,False,False
JJN,CN,8,1.142,,False
AUS,US,8,0.531,False,False
HYD,IN,7,7.273,True,True
CAN,CN,7,3.479,False,False
TAO,CN,7,2.882,False,False
LKO,IN,7,3.904,False,False
LAX,US,7,1.328,False,False
TBS,GE,7,1.978,False,False
HGH,CN,7,3.106,False,False
WAW,PL,7,2.174,False,False
CDG,FR,7,1.61,,False
SJC,US,7,0.531,True,True
FLL,US,7,2.398,True,True
SVQ,ES,7,1.791,,False
CZX,CN,6,1.855,False,False
FCO,IT,6,0.825,False,False
KHN,CN,6,7.48,True,True
CTA,IT,6,3.026,False,False
KBP,UA,6,1.584,True,True
JFK,US,6,0.776,False,False
VLC,ES,6,0.341,,False
MXP,IT,6,1.486,False,False
PMO,IT,6,0.689,False,False
DXB,AE,6,2.248,True,True
IEV,UA,6,1.415,,False
BGY,IT,6,2.96,,False
BKK,TH,6,4.192,True,True
ZUH,CN,6,2.746,True,True
NAP,IT,6,1.003,True,True
SEA,US,6,1.47,True,True
IAD,US,6,0.63,False,False
OPO,PT,6,2.263,False,False
BNE,AU,6,1.106,False,False
SFO,US,6,1.179,True,True
ADB,TR,6,2.259,False,False
MAA,IN,6,5.644,False,False
WRO,PL,6,1.365,False,False
RAK,MA,6,4.427,False,False
NAO,CN,6,2.052,True,True
SMF,US,6,0.637,True,True
WMT,CN,6,1.983,True,True
NAY,CN,6,1.28,False,False
XAI,CN,6,2.26,,False
WDS,CN,5,1.13,False,False
TNA,CN,5,3.727,,False
VCE,IT,5,0.835,,False
HFE,CN,5,1.753,True,True
DME,RU,5,1.305,False,False
LED,RU,5,4.145,True,True
BHX,GB,5,0.459,False,False
MYR,US,5,0.693,,False
ORD,US,5,1.201,,False
CLJ,RO,5,7.917,,False
BLR,IN,5,6.677,False,False
SYD,AU,5,1.1,True,True
LTN,GB,5,0.725,False,False
AMS,NL,5,1.879,,False
HYN,CN,5,2.54,True,True
NRT,JP,5,1.199,,False
KTW,PL,5,1.236,,False
NUE,DE,5,1.683,,False
HAV,CU,5,10.582,,False
KIV,,5,1.957,False,False
TKG,ID,5,1.1,,False
MLA,MT,5,1.963,,False
DUB,IE,5,0.798,,False
QRO,MX,5,2.249,,False
DCA,US,5,1.108,True,True
ATH,GR,5,1.061,,False
PHX,US,5,0.894,,False
IND,US,5,0.663,True,True
YNZ,CN,5,2.257,,False
SFB,US,5,1.441,True,True
DEL,IN,5,1.845,,False
DYG,CN,5,1.41,,False
PFO,CY,5,1.28,,False
LWO,UA,5,9.488,,False
DAT,CN,5,0.865,,False
JAI,IN,4,7.344,,False
XIY,CN,4,2.326,,False
TLQ,CN,4,10.534,,False
CTS,JP,4,3.286,True,True
MAN,GB,4,4.151,,False
PHL,US,4,0.693,,False
CGO,CN,4,4.746,,False
HDG,CN,4,0.777,True,True
TAE,KR,4,1.644,,False
KMG,CN,4,13.179,,False
HKG,HK,4,1.11,,False
TPE,TW,4,3.011,,False
OAK,US,4,1.132,,False
CRL,BE,4,2.225,,False
KEF,IS,4,6.488,,False
MCT,OM,4,2.391,,False
KWE,CN,4,3.833,False,False
TSN,CN,4,1.444,,False
STV,IN,4,0.847,,False
JNG,CN,4,2.372,,False
HRB,CN,4,3.725,True,True
HIA,CN,4,1.591,,False
WEH,CN,4,2.309,False,False
TXN,CN,4,1.291,,False
PEK,CN,4,0.904,,False
JHB,MY,4,5.293,,False
HAN,VN,4,2.422,,False
CNX,TH,4,8.38,,False
GLA,GB,4,0.632,,False
LAS,US,4,1.492,,False
LCY,GB,4,0.421,,False
SIN,SG,4,3.58,,False
IST,TR,4,1.113,,False
YYZ,CA,4,1.203,,False
ZYI,CN,4,5.712,,False
NNY,CN,4,0.572,,False
DUS,DE,4,3.781,,False
AKL,NZ,4,2.803,,False
DLU,CN,4,1.033,,False
TXL,DE,4,1.693,,False
DBV,HR,4,0.449,,False
MSQ,BY,4,3.687,,False
CLE,US,4,0.559,,False
ONT,US,4,1.945,False,False
FEZ,MA,4,5.116,,False
MEL,AU,4,1.188,False,False
REP,,4,15.613,True,True
LIL,FR,4,1.359,,False
LYA,CN,4,0.725,True,True
AGP,ES,4,4.517,,False
STR,DE,4,1.815,,False
LHW,CN,4,6.972,,False
YIH,CN,4,2.687,,False
XMN,CN,4,3.214,False,False
NCE,FR,4,0.698,False,False
CGQ,CN,4,2.191,False,False
LIS,PT,4,2.094,True,True
TPA,US,4,0.391,False,False
BOS,US,4,0.871,,False
GUA,GT,4,0.412,,False
AMD,IN,4,3.908,,False
RTM,NL,4,3.516,,False
ROV,RU,4,2.907,,False
RDU,US,4,0.527,,False
JIQ,CN,3,2.137,,False
GDN,PL,3,2.51,,False
PRG,CZ,3,1.076,,False
HKT,TH,3,6.586,,False
ZIA,RU,3,7.715,,False
YIW,CN,3,1.022,,False
MIG,CN,3,1.685,,False
WUX,CN,3,1.204,,False
SKP,MK,3,3.229,,False
XNN,CN,3,2.082,,False
CEI,TH,3,1.039,,False
PSA,IT,3,1.117,,False
HER,GR,3,1.83,,False
ZRH,CH,3,1.03,,False
ORY,FR,3,1.806,,False
MRS,FR,3,0.308,,False
SCL,CL,3,1.987,,False
HAS,SA,3,1.041,,False
HOU,US,3,2.441,,False
EWR,US,3,0.62,,False
MSY,US,3,0.962,,False
CVG,US,3,0.364,,False
CSX,CN,3,1.646,,False
IXC,IN,3,1.922,,False
FUG,CN,3,0.806,,False
LPL,GB,3,0.849,,False
ZHA,CN,3,0.905,,False
TVS,CN,3,7.512,,False
LYG,CN,3,2.19,,False
DLC,CN,3,4.851,,False
IXM,IN,3,1.059,,False
NZL,CN,3,0.865,,False
GOT,SE,3,2.26,,False
DOH,QA,3,1.956,,False
MIA,US,3,0.906,,False
LIM,PE,3,1.552,,False
TRN,IT,3,0.396,,False
MKE,US,3,1.285,,False
YHM,CA,3,5.812,,False
CGY,PH,3,1.638,,False
TSF,IT,3,1.989,,False
LUX,LU,3,1.147,,False
SKG,GR,3,0.675,,False
SUF,IT,3,0.516,,False
NTG,CN,3,1.165,,False
KWL,CN,3,2.651,,False
DPS,ID,3,2.875,,False
SEN,GB,3,1.397,,False
CPT,ZA,3,1.103,,False
CEB,PH,3,2.518,,False
PVD,US,3,6.44,,False
LZH,CN,3,1.411,,False
BOM,IN,3,1.089,,False
YVR,CA,3,0.996,,False
HAM,DE,3,0.734,,False
BJX,MX,3,0.395,,False
BRU,BE,3,1.487,,False
CIH,CN,3,0.995,,False
CUZ,PE,3,1.927,,False
LLV,CN,3,2.152,,False
AYT,TR,3,1.791,,False
TAG,PH,3,1.421,,False
FMM,DE,3,3.16,,False
GRX,ES,3,0.716,,False
VNS,IN,3,10.969,,False
HUX,MX,3,1.419,,False
ITM,JP,3,1.877,,False
BRS,GB,3,1.422,,False
SSA,BR,3,1.956,,False
FOR,BR,3,5.408,,False
WGN,,3,7.323,,False
SAW,TR,3,1.481,,False
AMM,JO,3,3.05,,False
ICN,KR,3,0.958,,False
IQN,CN,3,3.529,,False
CMN,MA,3,1.139,,False
KUT,GE,3,2.781,,False
AQG,CN,3,1.149,,False
KUL,MY,3,3.127,,False
MNL,PH,3,1.315,,False
PIT,US,3,0.765,,False
LIN,IT,3,0.288,,False
TTN,US,3,2.469,,False
KZN,RU,3,8.979,,False
HJJ,CN,2,3.639,,False
UPG,ID,2,2.325,,False
TRZ,IN,2,0.949,,False
ENY,CN,2,3.17,,False
LYI,CN,2,0.99,,False
GYD,AZ,2,1.367,,False
MUC,DE,2,0.553,,False
UCT,RU,2,5.879,,False
BFJ,CN,2,1.306,,False
BTW,ID,2,1.838,,False
SQD,CN,2,0.638,,False
UCB,CN,2,7.264,,False
SWA,CN,2,0.557,,False
NYO,SE,2,7.238,,False
FSC,FR,2,0.561,,False
NNG,CN,2,10.077,,False
WMI,PL,2,1.439,,False
SOF,BG,2,1.528,,False
SXF,,2,12.79,,False
ARN,SE,2,0.931,,False
CGN,DE,2,2.007,,False
SAN,US,2,1.337,,False
TLS,FR,2,1.225,,False
BOD,FR,2,3.485,,False
PUY,HR,2,1.34,,False
ALC,ES,2,3.951,,False
CWB,BR,2,2.106,,False
CJS,MX,2,3.352,,False
DJJ,ID,2,7.738,,False
COK,IN,2,3.077,,False
KIJ,JP,2,1.135,,False
LUZ,PL,2,0.533,,False
PPS,PH,2,7.521,,False
PNH,,2,2.217,,False
YCU,CN,2,7.849,,False
ZAG,HR,2,1.226,,False
SRG,ID,2,0.584,,False
BKI,MY,2,7.472,,False
GRO,ES,2,1.405,,False
NTE,FR,2,2.571,,False
BLL,DK,2,1.796,,False
HAJ,DE,2,0.377,,False
EZE,AR,2,1.692,,False
NQN,AR,2,3.563,,False
FDF,MQ,2,1.708,,False
SJU,US,2,0.547,,False
SWF,US,2,3.856,,False
DEB,HU,2,1.692,,False
VXO,SE,2,4.489,,False
RIX,LV,2,1.111,,False
KWI,KW,2,3.606,,False
