airport,geo_role,shadow_ratio,nearest_km
NVA,solo,1.0,999
RAP,solo,1.0,999
BZE,solo,1.0,999
CPT,solo,1.0,999
YQY,solo,1.0,999
ASP,solo,1.0,999
RUH,solo,1.0,999
NEK,solo,1.0,999
SDL,solo,1.0,999
BCU,,,
LFW,solo,1.0,999
TLN,secondary,27.45,84.0
ERS,solo,1.0,999
MPL,solo,1.0,999
PEK,primary,1.0,37.0
KUL,primary,1.0,46.0
FMI,solo,1.0,999
HSV,solo,1.0,999
UKK,solo,1.0,999
YNT,solo,1.0,999
AHB,solo,1.0,999
CNC,solo,1.0,999
BFN,solo,1.0,999
EFL,solo,1.0,999
SJJ,solo,1.0,999
YZV,solo,1.0,999
NGS,secondary,6.84,88.0
AMH,solo,1.0,999
CTS,solo,1.0,999
POA,solo,1.0,999
FTI,solo,1.0,999
POM,solo,1.0,999
TSR,solo,1.0,999
LYP,solo,1.0,999
LYA,solo,1.0,999
RAJ,,,
OMD,solo,1.0,999
BEN,solo,1.0,999
NTG,secondary,2.38,82.0
BZO,solo,1.0,999
BGY,secondary,2.33,42.0
LWB,solo,1.0,999
MEM,solo,1.0,999
SRQ,secondary,6.19,59.0
HET,solo,1.0,999
SCV,solo,1.0,999
PBH,solo,1.0,999
BDA,solo,1.0,999
LCK,secondary,25.65,21.0
SAL,solo,1.0,999
SWO,secondary,61.88,97.0
GCI,solo,1.0,999
KIX,primary,1.0,23.0
AHU,secondary,12.33,77.0
DEX,,,
CXR,primary,1.0,97.0
PSR,solo,1.0,999
CXH,secondary,68.59,12.0
MSQ,solo,1.0,999
HDY,primary,1.0,99.0
DQM,solo,1.0,999
RTM,secondary,35.04,45.0
OXB,solo,1.0,999
BUA,solo,1.0,999
ROS,solo,1.0,999
HEL,solo,1.0,999
KRT,solo,1.0,999
TZX,solo,1.0,999
DNH,solo,1.0,999
YIF,solo,1.0,999
GOB,solo,1.0,999
OLB,solo,1.0,999
JED,solo,1.0,999
NBC,solo,1.0,999
SUB,solo,1.0,999
NDR,solo,1.0,999
LRM,secondary,26.25,59.0
ACO,solo,1.0,999
AGA,solo,1.0,999
ASE,solo,1.0,999
WLG,solo,1.0,999
IXC,solo,1.0,999
GEO,solo,1.0,999
