bucket,airport,n_routes,overall_bias
0,SVO,59,0.84
0,SIN,50,0.83
0,SAW,40,0.87
0,CAN,34,0.89
0,SOF,29,0.85
0,DME,25,0.88
0,LWO,21,0.86
0,KEF,20,0.82
0,MSQ,18,0.85
0,VRN,18,0.84
0,YTY,17,0.84
0,OKA,17,0.87
0,RIZ,15,0.87
0,BGO,13,0.83
1,CMN,22,1.29
1,CXR,17,1.23
1,ALG,16,1.38
1,BES,15,1.36
1,MYR,14,1.49
1,EOH,12,1.36
1,STR,12,1.42
2,ORD,46,1.12
2,LAX,43,1.1
2,JFK,42,1.09
2,HEL,27,1.1
2,CPH,24,1.09
2,JED,23,1.21
2,WUH,17,0.99
2,PER,13,1.06
3,ZIA,18,0.41
4,RMO,61,0.9
4,EDI,42,0.9
4,ATH,39,1.03
4,CKG,34,1.02
4,VIE,34,0.98
4,DUB,30,0.93
4,VCE,27,0.94
4,SXF,25,0.96
4,HGH,22,0.96
4,NTE,20,0.98
4,NCE,19,0.95
4,OSL,17,0.93
4,NKG,17,0.92
4,BLQ,15,0.95
4,ABJ,13,0.91
4,CPT,12,0.95
5,TQO,14,0.71
5,DWC,12,0.62
6,SJC,23,0.64
6,TNA,13,0.62
7,KOS,13,0.75
8,MJI,15,0.55
9,PRG,40,1.15
9,MUC,36,1.06
9,TPE,30,1.06
9,SYD,30,1.04
9,AUH,24,1.17
9,MLA,21,1.14
9,LUX,17,1.1
10,LIL,15,0.83
10,FUK,12,0.92
11,MHD,19,0.76
12,RBA,15,1.71
13,FCO,47,1.01
13,IAD,43,0.99
13,LHR,40,1.04
13,SFO,39,0.96
13,AMS,32,1.01
13,CTU,29,0.99
13,MIA,23,1.0
13,TLS,21,1.0
13,PHL,21,0.98
13,HAN,21,0.95
13,WRO,21,1.01
13,ZAG,21,1.02
13,AKL,19,1.05
13,CLJ,19,1.03
13,FAO,19,0.98
13,TAO,18,1.01
13,RUH,18,1.05
13,BNA,18,1.02
13,BOD,17,1.02
13,EZE,15,1.04
13,MEX,15,0.99
13,ARN,14,1.02
13,ESB,14,0.98
13,BEY,12,1.02
14,UTP,13,0.98
14,FMM,13,1.0
15,RAK,50,1.26
15,AYT,28,1.34
16,CGN,30,0.84
16,CGK,14,0.85
16,YYC,12,0.81
17,MIR,12,1.15
18,DMK,60,0.73
18,VKO,42,0.79
18,DFW,40,0.8
18,BGY,32,0.77
18,IEV,25,0.72
18,CRL,24,0.76
18,TXL,23,0.79
18,PMO,19,0.83
18,BTS,18,0.77
19,COV,19,0.34
20,SWF,12,1.05
21,THR,29,0.61
21,SYX,22,0.61
21,CTS,14,0.7
21,PEN,12,0.62
21,KUT,12,0.69
22,FEZ,33,1.72
22,ASB,13,1.84
23,PGD,13,0.37
24,KUL,46,0.87
24,LIS,45,0.88
24,DSS,39,0.91
24,YUL,30,0.89
24,YYZ,29,0.85
24,LIM,24,0.83
24,SLC,24,0.83
24,KTW,24,0.95
24,GYD,21,0.93
24,MRS,21,0.88
24,CLT,21,0.89
24,PFO,18,0.93
24,ONT,13,0.89
25,BOS,27,1.02
25,ADD,27,0.99
25,MSP,17,1.03
25,COR,14,1.15
26,SFB,29,0.89
27,CIA,19,0.79
27,TAE,17,0.8
28,RTM,12,0.89
29,PIE,15,0.77
29,BMA,13,0.79
29,GRO,12,0.76
30,MCO,53,0.94
30,FLL,35,0.99
30,BHX,33,1.06
30,ALC,25,1.02
30,ADB,25,1.0
30,PDX,20,0.94
30,PIT,20,1.06
30,BOG,17,1.03
30,SJJ,17,1.09
30,LCA,15,0.96
31,DEN,40,1.11
31,AUS,36,1.07
31,EWR,31,1.03
31,LAS,28,1.11
31,RDU,26,1.11
31,MCT,18,1.18
31,CAI,17,1.1
31,LCY,17,1.1
31,DTW,16,1.11
31,CVG,15,1.12
31,DAD,15,1.05
31,IND,15,1.12
31,MSY,14,1.09
31,CLE,14,1.08
31,MCI,13,1.1
31,EIN,12,1.11
32,ATL,40,0.74
32,DPS,31,0.71
32,OAK,23,0.71
32,PSA,17,0.77
33,YWG,18,0.72
34,SZX,55,0.84
34,BUD,51,0.9
34,MAD,49,0.92
34,KBP,31,0.86
34,KIX,30,0.94
34,ADL,12,0.98
35,TIA,14,0.58
35,HRG,12,0.53
36,STN,55,0.85
36,VLC,27,0.92
36,AGP,24,0.87
36,BWI,17,0.91
37,ORY,21,0.85
38,DXB,59,1.2
38,TLV,50,1.13
38,DOH,47,1.08
38,AMM,28,1.28
38,BAH,19,1.05
39,AGA,13,1.59
40,MXP,63,0.91
40,CDG,60,0.98
40,NRT,29,0.91
40,SJU,16,0.93
40,TRS,15,0.93
41,SEA,21,0.84
42,TPA,15,0.99
43,CSX,24,0.88
43,CEB,21,0.79
43,PUJ,17,0.81
43,HAS,13,0.86
44,BKK,56,0.9
44,PVG,50,0.92
44,HKG,41,0.89
44,ICN,37,0.9
44,BNE,30,0.91
44,MAN,29,0.89
44,SGN,25,0.88
44,DUS,23,0.97
44,HAJ,22,0.9
44,BEG,18,0.89
44,LPL,17,0.86
44,BRI,15,0.89
44,XMN,14,0.88
44,BRS,13,0.92
44,BOM,12,0.89
45,YVR,27,0.86
46,BKI,13,0.8
47,TBS,28,0.8
47,RIX,27,0.78
47,KMG,26,0.74
47,NAP,26,0.79
47,BSL,17,0.82
47,HAK,14,0.8
48,CGO,16,1.32
48,SAN,15,1.26
48,GVA,15,1.39
49,IST,52,0.89
49,NUE,27,0.87
50,TSF,19,0.64
51,BCN,37,0.85
51,GOT,15,0.95
52,GLA,20,0.84
52,MFM,15,0.91
53,TRN,20,0.69
54,PVD,16,1.07
55,KRK,35,1.06
55,OTP,31,0.94
55,SHJ,25,1.11
56,TNG,24,1.68
57,PHX,34,0.95
57,LYS,25,0.96
57,GDN,24,0.97
57,LED,20,0.94
58,LGW,55,0.94
58,FRA,54,0.95
58,WAW,49,1.0
58,LTN,40,0.95
58,PEK,35,0.94
58,HKT,33,0.91
58,BRU,28,0.96
58,SVQ,26,0.93
58,HAM,25,0.92
58,MEL,25,0.95
58,XIY,23,0.95
58,ZRH,22,0.95
58,DEL,22,0.94
58,OPO,21,0.93
58,SMF,20,0.94
58,SCL,17,0.95
58,MNL,16,0.95
58,CTA,16,0.92
58,NBO,14,0.94
58,STL,13,0.95
59,SEN,18,1.15
