year,total_od,SFO,OAK,SJC,SMF,STS,MRY,SCK,FAT
2013,30540063,0.5542,0.1433,0.1354,0.133,0.0036,0.0064,0.0023,0.0218
2014,32158808,0.5522,0.1442,0.1388,0.131,0.0036,0.0058,0.0026,0.0219
2015,34263331,0.5544,0.1461,0.1356,0.1325,0.0037,0.0053,0.0023,0.02
2016,36849265,0.5485,0.1472,0.1402,0.1312,0.0045,0.0053,0.0026,0.0205
2017,38282593,0.5307,0.1501,0.1527,0.1345,0.0051,0.0051,0.0025,0.0195
2018,40157302,0.5343,0.1405,0.1579,0.1344,0.0052,0.0045,0.0025,0.0207
2019,42458968,0.5103,0.1393,0.1685,0.1459,0.0056,0.0055,0.0024,0.0225
2021,37643035,0.4498,0.1474,0.1504,0.1933,0.0084,0.0077,0.0031,0.04
2022,33527785,0.4843,0.1403,0.1522,0.1724,0.0092,0.0072,0.0023,0.0322
2023,37162076,0.5093,0.1293,0.1475,0.1641,0.0086,0.007,0.0018,0.0324
2024,38012684,0.514,0.1217,0.1439,0.1659,0.01,0.0081,0.0017,0.0347
2025,38012873,0.54,0.1045,0.1303,0.1676,0.0103,0.0086,0.0017,0.0369
