year,total_od,SFO,OAK,SJC,SMF,STS,MRY,FAT
2013,117749,0.9867,0.0003,0.0076,0.003,0.0,0.0003,0.0021
2014,132487,0.9858,0.0002,0.0098,0.0025,0.0,0.0002,0.0015
2015,141201,0.9889,0.0002,0.0061,0.0028,0.0,0.0003,0.0017
2016,148017,0.9848,0.0001,0.0104,0.0029,0.0,0.0003,0.0016
2017,168563,0.987,0.0001,0.009,0.0022,0.0,0.0001,0.0015
2018,184966,0.989,0.0,0.0071,0.0022,0.0,0.0,0.0015
2019,195779,0.9893,0.0,0.0075,0.0022,0.0,0.0001,0.0009
2021,169851,0.9961,0.0,0.002,0.0013,0.0,0.0,0.0006
2022,92928,0.9968,0.0001,0.0012,0.0011,0.0,0.0001,0.0007
2023,110980,0.9959,0.0,0.0011,0.0017,0.0,0.0004,0.0009
2024,143645,0.9956,0.0001,0.0009,0.0023,0.0,0.0003,0.0008
2025,166547,0.9935,0.0,0.0016,0.0033,0.0,0.0002,0.0013
