route,dep,arr,dep_country,arr_country,type,year,region,carrier,hub_dest,forecast_pax,captured_uncapped,capacity,feed_beyond,feed_behind,p2p_outturn,fc_over_p2p,outturn_pax,fc_over_out,natural,propensity,propensity_basis,gcd_km
NAS-TPA,NAS,TPA,BS,US,FSC,2016,INTL,3M,True,12530,10919,49504,1218,393,9060,1.205,11006,1.138,12397,0.7659,qsi-share,600
DCA-BDA,DCA,BDA,US,BM,FSC,2016,INTL,AA,False,19843,18720,79872,34,1089,14273,1.312,16739,1.185,26831,0.6067,qsi-share,1328
CIJ-TDD,CIJ,TDD,BO,BO,FSC,2016,LATAM,8J,False,32885,44060,38688,9,0,4165,10.579,4340,7.577,38313,1.0,qsi-share,592
LIR-SYQ,LIR,SYQ,CR,CR,FSC,2016,LATAM,5C,False,5879,7216,6916,0,0,11668,0.618,11668,0.504,132652,0.1511,qsi-share,167
ZSA-MIA,ZSA,MIA,BS,US,FSC,2016,INTL,AA,True,1099,235,31616,718,146,6743,0.035,9524,0.115,16140,0.0141,qsi-share,612
DGO-MDW,DGO,MDW,MX,US,LCC,2016,INTL,Y4,True,12203,12130,59904,53,21,25204,0.481,25207,0.484,14924,0.6073,qsi-share,2499
CUL-PHX,CUL,PHX,MX,US,LCC,2016,INTL,Y4,True,10247,8823,72384,213,1211,15127,0.583,15313,0.669,10159,0.6434,qsi-share,1059
LAX-SCL,LAX,SCL,US,CL,FSC,2016,INTL,LA,True,36564,30350,154128,4014,2200,9223,3.291,48575,0.753,31650,0.8339,qsi-share,8980
LFW-GRU,LFW,GRU,TG,BR,FSC,2016,INTL,ET,True,2932,2410,224640,1,521,4032,0.598,63336,0.046,2096,1.0,qsi-share,6130
WUT-PVG,WUT,PVG,,CN,FSC,2016,INTL,FM,True,0,0,67392,0,0,50553,,53126,,0,1.0,qsi-share,1154
DEX-WMX,DEX,WMX,,ID,FSC,2016,INTL,IL,False,0,0,52416,0,0,40997,,40997,,0,1.0,qsi-share,101
IQQ-ASU,IQQ,ASU,CL,PY,FSC,2016,LATAM,ZP,False,2557,2503,15600,6,48,10950,0.229,11850,0.216,2176,1.0,qsi-share,1395
