airport,term_o,term_d,dom_int,mct_min
ABQ,,,DOMDOM,30
ABQ,,,DOMINT,30
ABQ,,,INTDOM,60
ACC,,,INTINT,45
ACC,,,DOMDOM,45
ACC,,,INTDOM,45
ACC,,,DOMINT,45
ADD,,,DOMDOM,30
ADD,,,DOMINT,60
ADD,,,INTDOM,60
ADD,,,INTINT,45
AKL,D,D,DOMDOM,20
AKL,D,D,DOMINT,75
AKL,D,D,INTDOM,90
AKL,D,D,INTINT,55
AKL,D,I,DOMDOM,20
AKL,D,I,DOMINT,75
AKL,D,I,INTDOM,90
AKL,D,I,INTINT,55
AKL,I,D,DOMDOM,20
AKL,I,D,DOMINT,75
AKL,I,D,INTDOM,90
AKL,I,D,INTINT,55
AKL,I,I,DOMDOM,20
AKL,I,I,DOMINT,75
AKL,I,I,INTDOM,90
AKL,I,I,INTINT,55
ALA,,,DOMDOM,30
ALA,,,DOMINT,60
ALA,,,INTDOM,60
ALA,,,INTINT,60
AMM,1,1,DOMDOM,30
AMM,1,1,DOMINT,60
AMM,1,1,INTDOM,60
AMM,1,1,INTINT,45
AMM,1,2,DOMDOM,30
AMM,1,2,DOMINT,60
AMM,1,2,INTDOM,60
AMM,1,2,INTINT,45
AMM,2,1,DOMDOM,30
AMM,2,1,DOMINT,60
AMM,2,1,INTDOM,60
AMM,2,1,INTINT,45
AMM,2,2,DOMDOM,30
AMM,2,2,DOMINT,60
AMM,2,2,INTDOM,60
AMM,2,2,INTINT,45
AMS,,,INTINT,50
ANC,S,N,DOMINT,60
ANC,,,DOMDOM,30
ANC,,,DOMINT,60
ANC,,,INTDOM,60
ANC,,,INTINT,60
ARN,2,2,DOMDOM,15
ARN,2,2,DOMINT,45
ARN,2,2,INTDOM,50
ARN,2,2,INTINT,30
ARN,2,3,DOMDOM,25
ARN,2,3,DOMINT,45
ARN,2,3,INTDOM,50
ARN,2,3,INTINT,60
ARN,2,4,DOMDOM,25
ARN,2,4,DOMINT,45
ARN,2,4,INTDOM,50
ARN,2,4,INTINT,60
ARN,2,5,DOMDOM,25
ARN,2,5,DOMINT,45
ARN,2,5,INTDOM,50
ARN,2,5,INTINT,60
ARN,3,2,DOMDOM,25
ARN,3,2,DOMINT,45
ARN,3,2,INTDOM,50
ARN,3,2,INTINT,60
ARN,3,3,DOMDOM,15
ARN,3,4,DOMDOM,25
ARN,3,4,DOMINT,45
ARN,3,4,INTDOM,50
ARN,3,4,INTINT,60
ARN,3,5,DOMDOM,25
ARN,3,5,DOMINT,45
ARN,3,5,INTDOM,50
ARN,3,5,INTINT,60
ARN,4,2,DOMDOM,25
ARN,4,2,DOMINT,45
ARN,4,2,INTDOM,50
ARN,4,2,INTINT,60
ARN,4,3,DOMDOM,25
ARN,4,3,DOMINT,45
ARN,4,3,INTDOM,50
ARN,4,3,INTINT,60
ARN,4,4,DOMDOM,20
ARN,4,5,DOMDOM,25
ARN,4,5,DOMINT,45
ARN,4,5,INTDOM,50
ARN,4,5,INTINT,60
ARN,5,2,DOMDOM,25
ARN,5,2,DOMINT,45
ARN,5,2,INTDOM,50
ARN,5,2,INTINT,60
ARN,5,3,DOMDOM,25
ARN,5,3,DOMINT,45
ARN,5,3,INTDOM,50
ARN,5,3,INTINT,60
ARN,5,4,DOMDOM,25
ARN,5,4,DOMINT,45
ARN,5,4,INTDOM,50
ARN,5,4,INTINT,60
ARN,5,5,INTINT,30
ATL,I,N,INTDOM,90
ATL,I,S,INTDOM,90
ATL,N,S,DOMDOM,55
ATL,N,S,DOMINT,60
ATL,N,S,INTDOM,90
ATL,N,S,INTINT,90
ATL,N,N,DOMDOM,55
ATL,N,N,DOMINT,60
ATL,N,N,INTDOM,90
ATL,N,N,INTINT,90
ATL,N,B,DOMINT,60
ATL,N,I,DOMINT,60
ATL,S,N,DOMDOM,55
ATL,S,N,DOMINT,60
ATL,S,N,INTDOM,90
ATL,S,N,INTINT,90
ATL,S,S,DOMDOM,55
ATL,S,S,DOMINT,60
ATL,S,S,INTDOM,90
ATL,S,S,INTINT,90
ATL,S,B,DOMINT,60
ATL,S,I,DOMINT,60
AUH,1,1,DOMDOM,60
AUH,1,1,DOMINT,60
AUH,1,1,INTINT,60
AUH,1,1,INTDOM,60
AUH,1,2,DOMDOM,60
AUH,1,2,DOMINT,60
AUH,1,2,INTINT,60
AUH,1,2,INTDOM,60
AUH,1,3,DOMDOM,60
AUH,1,3,DOMINT,60
AUH,1,3,INTINT,60
AUH,1,3,INTDOM,60
AUH,2,1,DOMDOM,60
AUH,2,1,DOMINT,60
AUH,2,1,INTINT,60
AUH,2,1,INTDOM,60
AUH,2,2,DOMDOM,60
AUH,2,2,DOMINT,60
AUH,2,2,INTINT,60
AUH,2,2,INTDOM,60
AUH,2,3,DOMDOM,60
AUH,2,3,DOMINT,60
AUH,2,3,INTINT,60
AUH,2,3,INTDOM,60
AUH,3,1,DOMDOM,60
AUH,3,1,DOMINT,60
AUH,3,1,INTINT,60
AUH,3,1,INTDOM,60
AUH,3,2,DOMDOM,60
AUH,3,2,DOMINT,60
AUH,3,2,INTINT,60
AUH,3,2,INTDOM,60
AUH,3,3,DOMDOM,60
AUH,3,3,DOMINT,60
AUH,3,3,INTINT,60
AUH,3,3,INTDOM,60
BCN,1,1,DOMDOM,45
BCN,1,1,DOMINT,55
BCN,1,1,INTDOM,55
BCN,1,1,INTINT,45
BCN,1,2,DOMDOM,75
BCN,1,2,DOMINT,80
BCN,1,2,INTDOM,80
BCN,1,2,INTINT,75
BCN,2,1,DOMDOM,75
BCN,2,1,DOMINT,80
BCN,2,1,INTDOM,80
BCN,2,1,INTINT,75
BCN,2,2,DOMDOM,30
BCN,2,2,DOMINT,45
BCN,2,2,INTDOM,45
BCN,2,2,INTINT,45
BER,,,DOMDOM,45
BER,,,DOMINT,45
BER,,,INTDOM,45
BER,,,INTINT,45
BNE,D,I,DOMDOM,30
BNE,D,I,DOMINT,90
BNE,D,I,INTDOM,90
BNE,D,I,INTINT,50
