year,gb_pax,BFS,BHD,LDY,DUB_leak
2013,4692747,0.3833,0.2632,0.0406,0.3129
2014,4781766,0.3808,0.261,0.0373,0.3209
2015,5266680,0.3766,0.2486,0.028,0.3468
2016,5745033,0.4059,0.2214,0.026,0.3467
2017,6000955,0.4363,0.2022,0.016,0.3455
2018,6187670,0.4488,0.1883,0.0153,0.3476
2019,6098333,0.4602,0.1882,0.0167,0.3349
2021,3892950,0.5701,0.1749,0.0202,0.2348
2022,4595441,0.4751,0.1694,0.0172,0.3383
2023,5483763,0.483,0.1692,0.0135,0.3342
2024,6162885,0.4888,0.1756,0.014,0.3216
2025,6079265,0.4818,0.179,0.0176,0.3216
