route,carrier,year,n_markets,q_flown,q_best,opt_over_flown,best_dep
HAK-XIC,GX,2017,2,0.0,0.01086,,480
HJJ-NNG,GX,2017,16,0.42579,0.76528,1.797,480
YNY-KKJ,KW,2017,2,0.875,1.0,1.143,0
TRZ-SHJ,IX,2017,41,0.1721,0.31592,1.836,120
JIQ-HGH,GJ,2017,18,0.07394,0.24546,3.32,360
USU-CEB,PR,2017,22,0.54061,0.71929,1.331,240
JAI-IXC,9W,2017,1,0.02239,0.03673,1.64,600
HYD-TRV,6E,2017,4,0.00684,0.12438,18.191,360
NGB-DOY,HU,2017,2,0.0,0.03444,,240
XFN-CGO,JR,2017,33,0.47927,0.72164,1.506,480
ADL-CAN,CZ,2017,138,0.27161,0.55137,2.03,1200
ENY-TAO,CZ,2017,31,0.48868,0.53484,1.094,480
KXK-VVO,HZ,2017,10,0.13626,0.98845,7.254,240
RIZ-HGH,GS,2017,99,0.25173,0.29665,1.178,360
WDS-NAY,KN,2017,10,0.19269,0.68195,3.539,120
NNG-WDS,GX,2017,4,0.00374,0.01127,3.009,840
INC-TAO,CZ,2017,30,0.06012,0.09039,1.504,600
LYI-KMG,GJ,2017,43,0.60804,0.76736,1.262,360
CRK-USU,PR,2017,1,0.46937,0.46937,1.0,
TNA-ZUH,HU,2017,3,0.03002,0.03002,1.0,
SZX-CXR,HU,2017,4,0.76083,0.76817,1.01,120
HAK-FUG,GX,2017,4,0.00156,0.00551,3.535,960
VVO-SYX,Y7,2017,13,0.01533,0.02778,1.812,120
LHW-NGB,9C,2017,9,0.0034,0.00868,2.55,240
KMG-CEB,8L,2017,20,0.95492,0.9616,1.007,0
HNY-CKG,OQ,2017,44,0.25609,0.61283,2.393,240
TNA-KBV,E3,2017,4,0.00561,0.11436,20.384,360
AVA-SZX,DZ,2017,35,0.14586,0.50373,3.454,360
DMK-ZHA,G5,2017,18,0.03116,0.18778,6.027,600
CZX-KOW,CZ,2017,5,0.01016,0.07534,7.413,720
TLQ-CSX,CZ,2017,40,0.71702,0.98392,1.372,360
SYX-PUS,BX,2017,11,0.20675,0.20675,1.0,
CTS-GAJ,JH,2017,3,0.00731,0.12343,16.891,840
JIQ-HAK,JD,2017,6,0.0,0.51249,,360
BAX-IKT,IO,2017,18,0.83858,1.0,1.192,1320
MAN-MCT,WY,2017,38,0.03164,0.07088,2.24,960
BZK-LED,S7,2017,28,0.92485,0.92485,1.0,
GDN-AMS,KL,2017,131,0.32827,0.32827,1.0,
GYD-SHJ,G9,2017,26,0.35054,0.35054,1.0,
MUC-VKO,UT,2017,74,0.25902,0.33482,1.293,360
VCE-RTM,HV,2017,1,0.03332,0.0898,2.695,240
PRG-GOT,OK,2017,7,0.36727,0.37023,1.008,600
FCO-DFW,AA,2017,158,0.15449,0.28335,1.834,1200
KRK-VLC,FR,2017,12,0.0333,0.0509,1.529,480
KIV-MAD,9U,2017,165,0.1492,0.28568,1.915,360
PHL-KEF,FI,2017,22,0.01984,0.0699,3.523,0
UCT-DME,KO,2017,71,0.74094,0.9202,1.242,360
IVL-KTT,AY,2017,1,1.0,1.0,1.0,
BFJ-JHG,GJ,2017,1,0.0,1.0,,0
SYX-SWA,CZ,2017,12,0.01223,0.03573,2.922,720
HKT-FRA,TG,2017,143,0.29151,0.46857,1.607,1200
BTW-BDJ,IW,2017,8,0.96429,1.0,1.037,240
SWV-GDX,IO,2017,3,1.0,1.0,1.0,
DLC-YIW,DZ,2017,6,0.00368,0.00972,2.643,600
SQD-SZX,SC,2017,27,0.90118,0.91704,1.018,120
WDS-SJW,GX,2017,16,0.2461,0.34081,1.385,600
KZN-ASB,T5,2017,6,0.86181,0.91239,1.059,240
NKG-ZHA,MU,2017,4,0.00041,0.00517,12.517,360
LPQ-KUL,AK,2017,28,0.46484,0.65165,1.402,360
NUF-KCT,C7,2017,1,0.0,1.0,,120
ZIA-LBD,U6,2017,2,0.97479,1.0,1.026,120
TYN-MIG,SC,2017,6,0.0,0.39647,,480
YIW-WUH,CZ,2017,47,0.3905,0.45191,1.157,720
PVG-YUL,AC,2017,57,0.43574,0.46803,1.074,1080
TAO-XFN,GX,2017,6,0.0011,0.00295,2.667,1080
SZX-DAD,HU,2017,13,0.67485,0.7914,1.173,240
UCB-XIY,G5,2017,67,0.33224,0.71041,2.138,240
WUX-HKT,E3,2017,10,0.07407,0.19682,2.657,120
TNA-HJJ,GX,2017,3,0.0024,0.08601,35.885,1080
SOQ-KNG,IW,2017,1,0.0,1.0,,120
HKT-NGB,9C,2017,22,0.01076,0.03772,3.504,720
HET-YTY,9C,2017,21,0.08582,0.11486,1.338,360
SWA-TSN,3U,2017,24,0.01893,0.11539,6.097,600
CAN-MDC,JT,2017,13,0.7452,0.81131,1.089,0
SZX-ENH,GJ,2017,1,0.0015,0.00686,4.555,720
KRK-DUS,EW,2017,53,0.02593,0.09691,3.738,240
PLQ-WAW,LO,2017,56,0.33099,0.4766,1.44,840
