arr_airport,arr_country,arr_region,include
ABV,Nigeria,Africa : Central/Western Africa,IN
ABZ,United Kingdom,Europe : Western Europe,IN
ACC,Ghana,Africa : Central/Western Africa,IN
ADD,Ethiopia,Africa : Eastern Africa,IN
AGP,Spain,Europe : Western Europe,IN
ALA,Kazakhstan,Asia : Central Asia,OUT
ALG,Algeria,Africa : North Africa,IN
AMM,Jordan,Middle East,IN
AMS,Netherlands,Europe : Western Europe,IN
ARN,Sweden,Europe : Western Europe,IN
ASB,Turkmenistan,Asia : Central Asia,IN
ATH,Greece,Europe : Western Europe,IN
ATL,USA,North America,OUT
AUH,United Arab Emirates,Middle East,IN
AUS,USA,North America,OUT
BAH,Bahrain,Middle East,IN
BCN,Spain,Europe : Western Europe,IN
BEG,Serbia,Europe : Eastern/Central Europe,IN
BEY,Lebanon,Middle East,IN
BGO,Norway,Europe : Western Europe,IN
BHD,United Kingdom,Europe : Western Europe,IN
BIO,Spain,Europe : Western Europe,IN
BKK,Thailand,Asia : South East Asia,OUT
BLQ,Italy,Europe : Western Europe,IN
BLR,India,Asia : South Asia,IN
BOG,Colombia,Latin America : Upper South America,OUT
BOM,India,Asia : South Asia,IN
BOS,USA,North America,OUT
BRU,Belgium,Europe : Western Europe,IN
BSL,Switzerland,Europe : Western Europe,IN
BUD,Hungary,Europe : Eastern/Central Europe,IN
BWI,USA,North America,OUT
CAI,Egypt,Africa : North Africa,IN
CAN,China,Asia : North East Asia,OUT
CDG,France,Europe : Western Europe,IN
CFU,Greece,Europe : Western Europe,IN
CGN,Germany,Europe : Western Europe,IN
CLT,USA,North America,OUT
CMB,Sri Lanka,Asia : South Asia,IN
CMN,Morocco,Africa : North Africa,IN
CPH,Denmark,Europe : Western Europe,IN
CPT,South Africa,Africa : Southern Africa,IN
CTU,China,Asia : North East Asia,OUT
DEL,India,Asia : South Asia,IN
DEN,USA,North America,OUT
DFW,USA,North America,OUT
DME,Russian Federation,Europe : Eastern/Central Europe,IN
DOH,Qatar,Middle East,IN
DTW,USA,North America,OUT
DUB,Ireland Republic of,Europe : Western Europe,IN
DUS,Germany,Europe : Western Europe,IN
DXB,United Arab Emirates,Middle East,IN
EBB,Uganda,Africa : Eastern Africa,IN
EDI,United Kingdom,Europe : Western Europe,IN
EWR,USA,North America,OUT
EZE,Argentina,Latin America : Lower South America,OUT
FAO,Portugal,Europe : Western Europe,IN
FCO,Italy,Europe : Western Europe,IN
FRA,Germany,Europe : Western Europe,IN
GIB,Gibraltar,Europe : Western Europe,IN
GIG,Brazil,Latin America : Lower South America,OUT
GLA,United Kingdom,Europe : Western Europe,IN
GOT,Sweden,Europe : Western Europe,IN
GRU,Brazil,Latin America : Lower South America,OUT
GVA,Switzerland,Europe : Western Europe,IN
GYD,Azerbaijan,Europe : Eastern/Central Europe,IN
HAJ,Germany,Europe : Western Europe,IN
HAM,Germany,Europe : Western Europe,IN
HAN,Viet Nam,Asia : South East Asia,OUT
HEL,Finland,Europe : Western Europe,IN
HKG,Hong Kong (sar) China,Asia : North East Asia,OUT
HND,Japan,Asia : North East Asia,OUT
HYD,India,Asia : South Asia,IN
IAD,USA,North America,OUT
IAH,USA,North America,OUT
IBZ,Spain,Europe : Western Europe,IN
ICN,Korea Republic of,Asia : North East Asia,OUT
IKA,Iran Islamic Republic of,Middle East,IN
ISB,Pakistan,Asia : South Asia,IN
IST,Turkey,Europe : Western Europe,IN
JED,Saudi Arabia,Middle East,IN
JFK,USA,North America,OUT
JMK,Greece,Europe : Western Europe,IN
JNB,South Africa,Africa : Southern Africa,IN
JTR,Greece,Europe : Western Europe,IN
KBP,Ukraine,Europe : Eastern/Central Europe,IN
KEF,Iceland,Europe : Western Europe,OUT
KGS,Greece,Europe : Western Europe,IN
KHI,Pakistan,Asia : South Asia,IN
KRK,Poland,Europe : Eastern/Central Europe,IN
KUL,Malaysia,Asia : South East Asia,OUT
KWI,Kuwait,Middle East,IN
LAD,Angola,Africa : Southern Africa,IN
LAS,USA,North America,OUT
LAX,USA,North America,OUT
LBA,United Kingdom,Europe : Western Europe,IN
LCA,Cyprus,Europe : Western Europe,IN
LCG,Spain,Europe : Western Europe,IN
LED,Russian Federation,Europe : Eastern/Central Europe,IN
LHE,Pakistan,Asia : South Asia,IN
LIN,Italy,Europe : Western Europe,IN
LIS,Portugal,Europe : Western Europe,IN
LOS,Nigeria,Africa : Central/Western Africa,IN
LUX,Luxembourg,Europe : Western Europe,IN
LXR,Egypt,Africa : North Africa,IN
LYS,France,Europe : Western Europe,IN
MAA,India,Asia : South Asia,IN
MAD,Spain,Europe : Western Europe,IN
MAN,United Kingdom,Europe : Western Europe,IN
MCT,Oman,Middle East,IN
MEX,Mexico,Latin America : Central America,OUT
MIA,USA,North America,OUT
MLA,Malta,Europe : Western Europe,IN
MNL,Philippines,Asia : South East Asia,OUT
MRS,France,Europe : Western Europe,IN
MRU,Mauritius,Africa : Eastern Africa,IN
MSP,USA,North America,OUT
MUC,Germany,Europe : Western Europe,IN
MXP,Italy,Europe : Western Europe,IN
NAS,Bahamas,Latin America : Caribbean,OUT
NBO,Kenya,Africa : Eastern Africa,IN
NCE,France,Europe : Western Europe,IN
NCL,United Kingdom,Europe : Western Europe,IN
NRT,Japan,Asia : North East Asia,OUT
OLB,Italy,Europe : Western Europe,IN
OPO,Portugal,Europe : Western Europe,IN
ORD,USA,North America,OUT
ORK,Ireland Republic of,Europe : Western Europe,IN
ORY,France,Europe : Western Europe,IN
OSL,Norway,Europe : Western Europe,IN
OTP,Romania,Europe : Eastern/Central Europe,IN
PEK,China,Asia : North East Asia,OUT
PHL,USA,North America,OUT
PHX,USA,North America,OUT
PMI,Spain,Europe : Western Europe,IN
PRG,Czech Republic,Europe : Eastern/Central Europe,IN
PSA,Italy,Europe : Western Europe,IN
PVG,China,Asia : North East Asia,OUT
RDU,USA,North America,OUT
RJK,Croatia,Europe : Eastern/Central Europe,IN
RUH,Saudi Arabia,Middle East,IN
SAN,USA,North America,OUT
SEA,USA,North America,OUT
SFO,USA,North America,OUT
SGN,Viet Nam,Asia : South East Asia,OUT
SIN,Singapore,Asia : South East Asia,OUT
SNN,Ireland Republic of,Europe : Western Europe,IN
SOF,Bulgaria,Europe : Eastern/Central Europe,IN
